"Rank","Name","Tm","Vote.Pts","X1st.Place","Share","WAR","W","L","W.L.","ERA","G","GS","GF","CG","SHO","SV","IP","H","R","ER","HR","BB","IBB","SO","HBP","BK","WP","BF","WHIP","ERA."
1,"Steve Carlton\carltst01","PHI",120,24,"100%",12.1,27,10,0.73,1.97,41,41,0,30,8,0,346.1,257,84,76,17,87,8,310,1,2,8,1351,0.993,182
2,"Steve Blass\blassst01","PIT",35,0,"29%",4,19,8,0.704,2.49,33,32,0,11,2,0,249.2,227,80,69,18,84,8,117,4,1,6,1024,1.246,135
3,"Fergie Jenkins\jenkife01","CHC",23,0,"19%",5.8,20,12,0.625,3.2,36,36,0,23,5,0,289.1,253,111,103,32,62,7,184,7,1,3,1176,1.089,118
4,"Mike Marshall\marshmi01","MON",8,0,"7%",4,14,8,0.636,1.78,65,0,56,0,0,18,116,82,26,23,3,47,7,95,2,2,8,465,1.112,198
5,"Clay Carroll\carrocl02","CIN",6,0,"5%",1.5,6,4,0.6,2.25,65,0,54,0,0,37,96,89,27,24,5,32,9,51,1,0,2,392,1.26,144
5,"Gary Nolan\nolanga01","CIN",6,0,"5%",3.3,15,5,0.75,1.99,25,25,0,6,2,0,176,147,48,39,13,30,5,90,1,0,5,689,1.006,162
5,"Tom Seaver\seaveto01","NYM",6,0,"5%",5.2,21,12,0.636,2.92,35,35,0,13,3,0,262,215,92,85,23,77,2,249,5,0,8,1060,1.115,115
5,"Don Sutton\suttodo01","LAD",6,0,"5%",6.6,19,9,0.679,2.08,33,33,0,18,9,0,272.2,186,78,63,13,63,1,207,4,1,9,1061,0.913,162
9,"Bob Gibson\gibsobo01","STL",3,0,"3%",7.1,19,11,0.633,2.46,34,34,0,23,4,0,278,226,83,76,14,88,11,208,3,2,10,1119,1.129,139
9,"Milt Pappas\pappami01","CHC",3,0,"3%",4.2,17,7,0.708,2.77,29,28,0,10,3,0,195,187,72,60,18,29,3,80,8,0,2,791,1.108,136
