"Rank","Name","Tm","Vote.Pts","X1st.Place","Share","WAR","W","L","W.L.","ERA","G","GS","GF","CG","SHO","SV","IP","H","R","ER","HR","BB","IBB","SO","HBP","BK","WP","BF","WHIP","ERA.","WRank","SORank","ERARank","WARRank","ERAPlusRank"
11,"David Robertson\roberda08","NYY",1,0,"1%",3.7,4,0,1,1.08,70,0,8,0,0,1,66.2,40,9,8,1,35,6,100,1,1,6,272,1.125,399,9,9,1,9,1
8,"Mariano Rivera\riverma01","NYY",4,0,"2%",2.9,1,2,0.333,1.91,64,0,54,0,0,44,61.1,47,13,13,3,8,2,60,2,0,1,233,0.897,226,11,11,2,10,2
5,"Jose Valverde\valvejo01","DET",28,0,"14%",2,2,4,0.333,2.24,75,0,70,0,0,49,72.1,52,21,18,5,34,4,69,3,1,3,301,1.189,185,10,10,3,11,3
1,"Justin Verlander\verlaju01","DET",196,28,"100%",8.6,24,5,0.828,2.4,34,34,0,4,2,0,251,174,73,67,24,57,0,250,3,2,7,969,0.92,172,1,1,4,1,4
2,"Jered Weaver\weaveje02","LAA",97,0,"49%",6.9,18,8,0.692,2.41,33,33,0,4,2,0,235.2,182,65,63,20,56,0,198,3,0,8,926,1.01,156,3,5,5,2,5
6,"C.J. Wilson\wilsocj01","TEX",9,0,"5%",4.9,16,7,0.696,2.94,34,34,0,3,1,0,223.1,191,89,73,16,74,0,206,10,0,6,915,1.187,150,5,4,9,7,6
9,"Josh Beckett\beckejo02","BOS",3,0,"2%",5.8,13,7,0.65,2.89,30,30,0,1,1,0,193,146,65,62,21,52,1,175,9,0,6,767,1.026,149,8,8,7,6,7
10,"Ricky Romero\romerri01","TOR",2,0,"1%",6.4,15,11,0.577,2.92,32,32,0,4,2,0,225,176,85,73,26,80,2,178,14,1,9,917,1.138,146,7,7,8,3,8
4,"CC Sabathia\sabatc.01","NYY",63,0,"32%",6.4,19,8,0.704,3,33,33,0,3,1,0,237.1,230,87,79,17,61,4,230,7,1,2,985,1.226,143,2,2,10,4,9
3,"James Shields\shielja02","TBR",66,0,"34%",5.8,16,12,0.571,2.82,33,33,0,11,4,0,249.1,195,83,78,26,65,1,225,5,0,4,975,1.043,134,4,3,6,5,10
7,"Dan Haren\harenda01","LAA",7,0,"4%",4.1,16,10,0.615,3.17,35,34,1,4,3,0,238.1,211,91,84,20,33,1,192,5,0,6,953,1.024,119,6,6,11,8,11
