"Rank","Name","Tm","Vote.Pts","X1st.Place","Share","WAR","W","L","W.L.","ERA","G","GS","GF","CG","SHO","SV","IP","H","R","ER","HR","BB","IBB","SO","HBP","BK","WP","BF","WHIP","ERA.","WRank","SORank","ERARank","WARRank","ERAPlusRank"
5,"Kenley Jansen\janseke01","LAD",22,0,"10%",3,5,0,1,1.32,65,0,57,0,0,41,68.1,44,11,10,5,7,0,109,2,1,2,258,0.746,315,10,10,1,10,1
2,"Clayton Kershaw\kershcl01","LAD",126,3,"60%",4.9,18,4,0.818,2.31,27,27,0,1,0,0,175,136,49,45,23,30,0,202,0,2,4,679,0.949,179,1,6,2,5,2
1,"Max Scherzer\scherma01","WSN",201,27,"96%",7.1,16,6,0.727,2.51,31,31,0,2,0,0,200.2,126,62,56,22,55,2,268,11,0,4,780,0.902,178,3,1,3,1,3
3,"Stephen Strasburg\strasst01","WSN",81,0,"39%",6.2,15,4,0.789,2.52,28,28,0,1,1,0,175.1,131,55,49,13,47,5,204,7,0,3,701,1.015,178,5,5,4,3,4
7,"Robbie Ray\rayro02","ARI",6,0,"3%",4.9,15,5,0.75,2.89,28,28,0,1,1,0,162,116,57,52,23,71,3,218,5,0,8,665,1.154,163,7,3,6,6,5
6,"Gio Gonzalez\gonzagi01","WSN",18,0,"9%",6.4,15,9,0.625,2.96,32,32,0,0,0,0,201,158,69,66,21,79,5,188,7,0,7,827,1.179,152,6,8,7,2,6
9,"Alex Wood\woodal02","LAD",1,0,"0%",3.4,16,3,0.842,2.72,27,25,0,0,0,0,152.1,123,50,46,15,38,6,151,6,0,2,614,1.057,152,4,9,5,8,7
4,"Zack Greinke\greinza01","ARI",52,0,"25%",6.1,17,7,0.708,3.2,32,32,0,1,0,0,202.1,172,80,72,25,45,0,215,0,0,12,801,1.072,147,2,4,8,4,8
9,"Jimmy Nelson\nelsoji02","MIL",1,0,"0%",3.2,12,6,0.667,3.49,29,29,0,1,0,0,175.1,171,75,68,16,48,1,199,9,1,6,728,1.249,126,9,7,9,9,9
8,"Jacob deGrom\degroja01","NYM",2,0,"1%",4.4,15,10,0.6,3.53,31,31,0,1,0,0,201.1,180,87,79,28,59,5,239,2,0,7,827,1.187,117,8,2,10,7,10
