"Rank","Name","Tm","Vote.Pts","X1st.Place","Share","WAR","W","L","W.L.","ERA","G","GS","GF","CG","SHO","SV","IP","H","R","ER","HR","BB","IBB","SO","HBP","BK","WP","BF","WHIP","ERA.","WRank","SORank","ERARank","WARRank","ERAPlusRank"
7,"Koji Uehara\ueharko01","BOS",10,0,"5%",3.6,4,1,0.8,1.09,73,0,40,0,0,21,74.1,33,10,9,5,9,2,101,1,0,1,265,0.565,379,10,11,1,9,1
9,"Greg Holland\hollagr01","KCR",4,0,"2%",3.1,2,1,0.667,1.21,68,0,61,0,0,47,67,40,11,9,3,18,1,103,0,0,2,255,0.866,342,11,10,2,10,2
4,"Anibal Sanchez\sanchan01","DET",46,1,"22%",6,14,8,0.636,2.57,29,29,0,1,1,0,182,156,56,52,9,54,1,202,2,0,7,746,1.154,162,5,5,3,4,3
6,"Bartolo Colon\colonba01","OAK",25,0,"12%",5.7,18,6,0.75,2.65,30,30,0,3,3,0,190.1,193,60,56,14,29,0,117,0,0,1,769,1.166,147,2,9,4,5,4
2,"Yu Darvish\darviyu01","TEX",93,0,"44%",5.6,13,9,0.591,2.83,32,32,0,0,0,0,209.2,145,68,66,26,80,1,277,8,1,7,841,1.073,145,6,1,6,6,5
1,"Max Scherzer\scherma01","DET",203,28,"97%",6.4,21,3,0.875,2.9,32,32,0,0,0,0,214.1,152,73,69,18,56,0,240,4,1,6,836,0.97,144,1,2,7,3,6
3,"Hisashi Iwakuma\iwakuhi01","SEA",73,0,"35%",7.2,14,6,0.7,2.66,33,33,0,0,0,0,219.2,179,69,65,25,42,4,185,2,0,10,866,1.006,138,4,7,5,1,7
5,"Chris Sale\salech01","CHW",44,1,"21%",6.5,11,14,0.44,3.07,30,30,0,4,1,0,214.1,184,81,73,23,46,2,226,14,1,8,866,1.073,137,9,3,9,2,8
11,"James Shields\shielja02","KCR",2,0,"1%",4.3,13,9,0.591,3.15,34,34,0,2,0,0,228.2,215,82,80,20,68,0,196,8,2,11,946,1.238,131,7,6,10,8,9
8,"Felix Hernandez\hernafe02","SEA",6,0,"3%",5.3,12,10,0.545,3.04,31,31,0,0,0,0,204.1,185,74,69,15,46,1,216,3,0,13,823,1.131,121,8,4,8,7,10
9,"Matt Moore\moorema02","TBR",4,0,"2%",2.6,17,4,0.81,3.29,27,27,0,1,1,0,150.1,119,58,55,14,76,1,143,4,1,17,642,1.297,117,3,8,11,11,11
