"Rank","Name","Tm","Vote.Pts","X1st.Place","Share","WAR","W","L","W.L.","ERA","G","GS","GF","CG","SHO","SV","IP","H","R","ER","HR","BB","IBB","SO","HBP","BK","WP","BF","WHIP","ERA.","WRank","SORank","ERARank","WARRank","ERAPlusRank"
3,"Jesse Orosco\oroscje01","NYM",19,1,"16%",3.8,13,7,0.65,1.47,62,0,42,0,0,17,110,76,27,18,3,38,7,84,1,2,1,432,1.036,248,8,10,1,7,1
9,"Lee Smith\smithle02","CHC",1,0,"1%",4.8,4,10,0.286,1.65,66,0,56,0,0,29,103.1,70,23,19,5,41,14,91,1,2,5,413,1.074,229,10,9,2,4,2
6,"Al Holland\hollaal01","PHI",4,0,"3%",3.3,8,4,0.667,2.26,68,0,53,0,0,25,91.2,63,26,23,8,30,12,100,0,0,0,371,1.015,160,9,8,3,9,3
1,"John Denny\dennyjo01","PHI",103,20,"86%",7.4,19,6,0.76,2.37,36,36,0,7,1,0,242.2,229,77,64,9,53,5,139,4,1,6,983,1.162,152,1,6,4,1,4
2,"Mario Soto\sotoma01","CIN",61,2,"51%",6.8,17,13,0.567,2.7,34,34,0,18,3,0,273.2,207,96,82,28,95,6,242,5,2,2,1114,1.104,140,2,1,6,2,5
8,"Bob Welch\welchbo01","LAD",2,0,"2%",4.7,15,12,0.556,2.65,31,31,0,4,3,0,204,164,73,60,13,72,4,156,3,6,4,828,1.157,136,6,4,5,5,6
7,"Craig McMurtry\mcmurcr01","ATL",3,0,"3%",5.2,15,9,0.625,3.08,36,35,0,6,3,0,224.2,204,86,77,13,88,1,105,1,2,1,943,1.3,126,5,7,8,3,7
5,"Larry McWilliams\mcwilla01","PIT",7,0,"6%",4.1,15,8,0.652,3.25,35,35,0,8,4,0,238,205,99,86,19,87,7,199,3,4,9,1002,1.227,114,4,2,10,6,8
9,"Nolan Ryan\ryanno01","HOU",1,0,"1%",2.6,14,9,0.609,2.98,29,29,0,5,2,0,196.1,134,74,65,9,101,3,183,4,1,5,804,1.197,114,7,3,7,10,9
4,"Steve Rogers\rogerst01","MON",15,1,"13%",3.6,17,12,0.586,3.23,36,36,0,13,5,0,273,258,108,98,14,78,12,146,5,0,6,1125,1.231,110,3,5,9,8,10
