"","Name","Tm","Vote.Pts","X1st.Place","Share","WAR","W","L","W.L.","ERA","G","GS","GF","CG","SHO","SV","IP","H","R","ER","HR","BB","IBB","SO","HBP","BK","WP","BF","WHIP","ERA.","Year"
"1","Johan Santana\santajo02","MIN",140,28,"100%",7.6,19,6,0.76,2.77,34,34,0,1,0,0,233.2,186,79,72,24,47,0,245,4,1,4,923,0.997,162,"2006"
"2","Chien-Ming Wang\wangch01","NYY",51,0,"36%",6.1,19,6,0.76,3.63,34,33,1,2,1,1,218,233,92,88,12,52,4,76,2,1,6,900,1.307,125,"2006"
"3","Roy Halladay\hallaro01","TOR",48,0,"34%",5.3,16,5,0.762,3.19,32,32,0,4,0,0,220,208,82,78,19,34,5,132,5,0,3,876,1.1,143,"2006"
"4","Francisco Rodriguez\rodrifr03","LAA",5,0,"4%",3.7,2,3,0.4,1.73,69,0,58,0,0,47,73,52,16,14,6,28,5,98,1,0,10,296,1.096,263,"2006"
"5","Joe Nathan\nathajo01","MIN",3,0,"2%",3.3,7,0,1,1.58,64,0,61,0,0,36,68.1,38,12,12,3,16,4,95,1,0,3,262,0.79,284,"2006"
"6","Kenny Rogers\rogerke01","DET",3,0,"2%",3.2,17,8,0.68,3.84,34,33,1,0,0,0,204,195,97,87,23,62,2,99,9,0,5,849,1.26,118,"2006"
"7","Justin Verlander\verlaju01","DET",2,0,"1%",4,17,9,0.654,3.63,30,30,0,1,1,0,186,187,78,75,21,60,1,124,6,1,5,776,1.328,125,"2006"
"8","Brandon Webb\webbbr01","ARI",103,15,"64%",7,16,8,0.667,3.1,33,33,0,5,3,0,235,216,91,81,15,50,4,178,6,2,5,950,1.132,152,"2006"
"9","Trevor Hoffman\hoffmtr01","SDP",77,12,"48%",2.1,0,2,0,2.14,65,0,50,0,0,46,63,48,16,15,6,13,1,50,1,0,2,248,0.968,190,"2006"
"10","Chris Carpenter\carpech01","STL",63,2,"39%",5.1,15,8,0.652,3.09,32,32,0,5,3,0,221.2,194,81,76,21,43,3,184,10,0,3,896,1.069,144,"2006"
"11","Roy Oswalt\oswalro01","HOU",31,3,"19%",5.9,15,8,0.652,2.98,33,32,1,2,0,0,220.2,220,76,73,18,38,4,166,6,1,1,896,1.169,150,"2006"
"12","Carlos Zambrano\zambrca01","CHC",6,0,"4%",5.3,16,7,0.696,3.41,33,33,0,0,0,0,214,162,91,81,20,115,4,210,9,1,9,917,1.294,136,"2006"
"13","Billy Wagner\wagnebi02","NYM",4,0,"3%",2.2,3,2,0.6,2.24,70,0,59,0,0,40,72.1,59,22,18,7,21,1,94,4,0,2,297,1.106,196,"2006"
"14","John Smoltz\smoltjo01","ATL",3,0,"2%",5.9,16,9,0.64,3.49,35,35,0,3,1,0,232,221,93,90,23,55,4,211,9,0,5,960,1.19,128,"2006"
"15","Takashi Saito\saitota01","LAD",1,0,"1%",3.2,6,2,0.75,2.07,72,0,48,0,0,24,78.1,48,19,18,3,23,3,107,2,0,2,303,0.906,218,"2006"
