"League","Year","Wins","ERA","SO","WAR","ERA+"
"AL","1967",1,1,1,1,1
"AL","1968",NA,NA,NA,NA,NA
"AL","1969",NA,NA,NA,NA,NA
"AL","1970",0.821428571428571,0.510204081632653,0.154336734693877,0.0459183673469387,0.286989795918367
"AL","1971",0.916515138991168,0.617142857142857,0.617142857142857,0.518571428571429,0.617142857142857
"AL","1972",0.928571428571429,0.0277777777777778,0.06859410430839,0.544784580498866,0.036281179138322
"AL","1973",0.557773351022717,0.143253968253968,0.00634920634920635,0.00992063492063492,0.0321428571428571
"AL","1974",0.984588692610788,0.160904255319149,0.969414893617021,0.160904255319149,0.160904255319149
"AL","1975",0.478754999145021,0.253968253968254,0.107301587301587,0.335873015873016,0.28
"AL","1976",0.568057281997381,0.0617647058823529,0.102100840336134,0.302836134453781,0.102100840336134
"AL","1977",0.233333333333333,0.0802777777777778,0.000277777777777778,0.09,0.00111111111111111
"AL","1978",0.720951143995636,0.426186716509297,0.368953627018143,0.640681898746415,0.382875189326802
"AL","1979",0.708454712952982,0.0200763232122117,0.139538742326199,0.227144516343123,0.139538742326199
"AL","1980",0.553398590529466,0.05625,0.225,0.05625,0.05625
"AL","1981",0.28225529187693,0.0311203319502075,0.0448132780082988,0.0700207468879668,0.0311203319502075
"AL","1982",0.348507517678661,0.0303643724696356,0.0367408906882591,0,0.0148785425101215
"AL","1983",0.257142857142857,0.0661224489795919,0.000816326530612245,0.183673469387755,0.0073469387755102
"AL","1984",-0.296262879962156,0.577567612410818,0.466069354571097,0.00149328023892484,0.501908080305293
"AL","1985",0.529547511314448,0.0585117750138907,0.000384664700602641,0.0718468179681156,0.0359447792452024
"AL","1986",0.542857142857143,0.04,0.235918367346939,0.29469387755102,0.000816326530612245
"AL","1987",0.496373567739057,0.2296875,0.010546875,0.198046875,0.15498046875
"AL","1988",0.371428571428571,0.595102040816327,0.0661224489795919,0.0204081632653061,0.595102040816327
"AL","1989",0.801257691937425,0.100347222222222,0.425347222222222,0.6125,0.100347222222222
"AL","1990",0.720193141399958,0.116379310344828,0.0229885057471264,0.0919540229885057,0.0704022988505747
"AL","1991",0.408447776569325,0.0788530465949821,0.0470837406321277,0.391169762137504,0.0861844248941023
"AL","1992",-0.285714285714286,0.326530612244898,0.0114795918367347,0.00127551020408163,0.326530612244898
"AL","1993",0.714285714285714,0.103316326530612,0.0318877551020408,0.413265306122449,0.103316326530612
"AL","1994",0.8,0.36,0.25,0.49,0.01
"AL","1995",-0.0285714285714286,0.784489795918367,0.0073469387755102,0.235918367346939,0.784489795918367
"AL","1996",0.639940473422185,0.00553709856035438,0.0108527131782946,0.138427464008859,0.000221483942414175
"AL","1997",0.828571428571429,0.137959183673469,0.36,0.137959183673469,0.137959183673469
"AL","1998",0.4,1,0.64,1,1
"AL","1999",0.745241313525099,0.0246153846153846,0.14625,0.0216346153846154,0.0138461538461538
"AL","2000",0.671984002785781,0,0.0390625,0.0765625,0
"AL","2001",0.828571428571429,0.36,0.0204081632653061,0.0204081632653061,0.137959183673469
"AL","2002",0.8,0.16,0.36,0.16,0.16
"AL","2003",0.759978692076836,0.000165920026547204,0.501908080305293,0.7448149991704,0.000165920026547204
"AL","2004",0.760638829255665,0.114285714285714,0.257142857142857,0.714285714285714,0.114285714285714
"AL","2005",0.237170824512628,0.025,0.05625,0.0390625,0.00625
"AL","2006",0.492763728326287,0.00574712643678161,0.0229885057471264,0.51867816091954,0.0704022988505747
"AL","2007",0.885253336275981,0.136054421768707,0.00136054421768707,0.658503401360544,0.110204081632653
"AL","2008",0.474341649025257,0.225,0.00625,0.30625,0.15625
"AL","2009",0,0.36,0.36,0.01,0.36
"AL","2010",0.388057465276242,0.0590437775390753,0.162058004691234,0.459946949602122,0.0489422802902427
"AL","2011",0.745454545454545,0.00528925619834711,0.49,0.259173553719008,0.0267768595041322
"AL","2012",0.483333333333333,0.233611111111111,0.146944444444444,0.340277777777778,0.1225
"AL","2013",0.460545842993109,0.0467314487632509,0.328710247349823,0.565371024734982,0.0597173144876325
"AL","2014",0.633333333333333,0.01,0.401111111111111,0.934444444444444,0.0136111111111111
"AL","2015",0.599262898984617,0.0178708032299192,0.208266043348916,0.290883977900552,0.000531236719082023
"AL","2016",0.607908769985841,0.000837988826815642,0.281657355679702,0.00456238361266294,0.0837988826815642
"AL","2017",0.666666666666667,0.111111111111111,0.81859410430839,0.27437641723356,0.163832199546485
"AL","2018",0.564838887427203,0.029296875,0.423046875,0.732421875,0.0421875
"NL","1967",0.866025403784439,0.75,0.75,0.75,0.75
"NL","1968",NA,NA,NA,NA,NA
"NL","1969",0.970142500145332,0.720588235294118,0.529411764705882,0.720588235294118,0.720588235294118
"NL","1970",0.766976003632398,0.0897601608502083,0.196610656326296,0.265546459859256,0.00359040643400833
"NL","1971",0.733564306607302,0.245179372197309,0.134529147982063,0.245179372197309,0.366255605381166
"NL","1972",0.448882472616995,0.0568673750491932,0.0787091696182605,0,0.0283353010625738
"NL","1973",0.714285714285714,0.0459183673469387,0.103316326530612,0.510204081632653,0.0459183673469387
"NL","1974",0.482718217635435,0.00675105485232068,0.379746835443038,0.0304852320675105,0
"NL","1975",0.524404424085076,0.184090909090909,0.0568181818181818,0.656818181818182,0.0818181818181818
"NL","1976",0.833333333333333,0.0277777777777778,0.226757369614513,0.000566893424036281,0.0204081632653061
